id_question,semester,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,,,,,,
21,2019-1,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,
21,2023-2,1.00,1.00,0.50,1.00,1.00,0.00,0.00,1.00,0.50,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.50,0.50,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,,,,,,,,,,,,,
22,2019-2,1.00,0.70,0.40,1.00,0.90,0.90,0.80,1.00,0.60,0.80,0.60,1.00,0.60,0.60,0.90,1.00,0.70,1.00,0.50,0.90,0.80,0.80,0.30,0.70,1.00,0.70,1.00,0.70,0.90,1.00,0.90,1.00,0.70,0.90,0.80,0.90,,,,,,,,,,,,,,,
22,2022-1,1.00,0.70,1.00,0.45,0.95,1.00,0.45,1.00,0.70,0.75,1.00,0.50,0.45,0.95,0.25,0.70,0.50,1.00,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2022-2,0.75,0.40,1.00,1.00,0.90,0.65,0.85,0.70,0.90,1.00,0.40,0.85,0.80,0.95,0.90,0.80,0.95,0.75,0.95,0.55,0.65,0.90,0.85,0.85,0.55,0.80,1.00,0.90,0.95,0.80,0.75,1.00,1.00,0.85,0.80,0.85,0.80,0.60,0.95,0.65,1.00,0.85,,,,,,,,,
23,2019-1,1.00,0.50,0.67,0.67,0.50,0.67,1.00,0.50,1.00,0.25,0.67,1.00,0.17,0.67,0.00,1.00,1.00,0.50,0.67,0.67,0.50,1.00,1.00,1.00,0.17,1.00,0.67,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,
23,2023-1,0.50,0.67,1.00,1.00,1.00,0.67,1.00,0.84,0.67,1.00,0.84,0.34,0.67,1.00,1.00,1.00,0.50,0.84,0.67,1.00,0.50,0.67,0.84,1.00,0.67,1.00,0.67,1.00,1.00,1.00,0.84,0.67,1.00,1.00,0.50,1.00,0.67,1.00,0.84,1.00,0.84,1.00,1.00,1.00,1.00,,,,,,
24,2019-2,0.88,0.75,0.50,1.00,1.00,0.88,0.88,0.88,0.25,1.00,0.25,0.88,0.75,0.88,0.25,0.88,0.38,0.88,1.00,0.00,0.63,0.63,0.00,0.00,0.88,0.00,0.63,0.00,0.88,0.88,0.88,0.88,0.00,0.88,0.00,0.00,,,,,,,,,,,,,,,
24,2022-1,0.25,1.00,0.75,0.25,0.75,1.00,0.75,1.00,0.63,0.00,0.88,0.25,0.25,0.63,0.25,1.00,0.00,1.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2023-1,0.00,0.33,0.00,0.67,0.00,0.50,1.00,0.00,0.58,1.00,1.00,0.00,0.67,1.00,1.00,0.83,0.00,0.00,1.00,1.00,0.83,0.67,1.00,0.00,0.75,1.00,0.33,0.67,0.50,1.00,0.33,0.83,1.00,1.00,1.00,0.50,0.00,0.00,0.50,0.83,0.00,1.00,1.00,0.67,0.00,,,,,,
25,2019-2,0.00,0.63,0.33,0.00,0.67,0.00,0.47,0.60,0.60,0.47,0.60,0.00,0.00,0.00,0.20,0.63,0.25,0.00,0.47,0.00,0.43,0.67,0.00,0.67,0.63,0.00,0.50,0.37,0.00,,,,,,,,,,,,,,,,,,,,,,
25,2022-1,0.67,0.50,0.67,0.50,0.83,0.83,0.17,0.83,0.33,0.17,0.83,0.50,0.33,0.00,0.67,1.00,0.00,1.00,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2022-2,0.92,0.17,0.83,0.83,1.00,0.50,0.33,0.50,0.50,0.67,0.17,0.50,0.17,0.33,0.17,0.67,0.33,0.33,0.83,0.17,0.33,0.67,0.83,0.67,0.00,0.17,1.00,0.17,0.33,0.17,0.17,0.33,0.83,1.00,0.33,0.50,0.67,0.00,0.67,0.00,1.00,0.50,,,,,,,,,
25,2023-1,0.58,0.17,0.50,0.67,0.00,0.25,0.83,0.75,0.75,1.00,0.83,0.75,0.75,0.75,1.00,0.75,0.00,0.00,0.58,0.75,0.00,0.83,0.00,0.42,0.00,1.00,0.00,0.83,0.33,0.75,0.17,0.83,0.00,0.75,0.25,0.50,0.17,0.67,0.42,0.25,0.42,0.83,1.00,0.58,0.25,,,,,,
26,2019-1,0.67,0.63,0.67,0.00,0.25,0.57,0.60,0.33,0.63,0.00,0.67,0.67,0.00,0.50,0.40,0.67,0.33,0.67,0.00,0.50,0.67,0.67,0.67,0.63,0.23,0.33,0.58,0.55,0.67,,,,,,,,,,,,,,,,,,,,,,
26,2022-2,0.17,0.67,0.50,0.17,0.50,0.67,0.50,0.67,0.42,0.00,0.58,0.17,0.17,0.42,0.17,0.67,0.00,0.67,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2019-1,0.75,0.63,1.00,0.63,0.63,0.63,0.88,1.00,1.00,0.50,1.00,0.38,0.00,0.88,0.75,0.63,1.00,0.75,1.00,0.06,0.63,1.00,0.75,0.50,0.75,0.31,1.00,0.75,1.00,,,,,,,,,,,,,,,,,,,,,,
27,2022-2,0.13,0.88,0.63,0.50,1.00,1.00,0.25,0.75,0.63,0.63,0.13,0.75,0.50,0.63,0.75,0.63,0.88,0.75,0.88,0.63,0.50,0.50,0.75,0.13,1.00,0.38,0.50,0.88,0.38,0.38,0.88,0.38,0.88,0.75,0.25,0.75,1.00,0.75,,,,,,,,,,,,,
27,2023-2,0.50,0.00,0.63,1.00,1.00,0.50,1.00,0.25,1.00,1.00,0.63,1.00,0.88,0.25,0.38,0.50,0.00,0.38,0.50,0.75,1.00,0.75,1.00,0.50,0.38,0.25,0.38,0.50,0.88,0.88,0.75,0.75,0.75,0.75,0.38,0.50,0.88,0.88,,,,,,,,,,,,,
28,2022-2,0.25,1.00,0.50,0.50,0.50,0.50,0.00,0.50,0.75,1.00,0.75,1.00,0.75,0.75,0.50,0.75,1.00,0.75,0.50,0.25,1.00,0.75,0.75,0.00,1.00,1.00,1.00,1.00,0.25,0.75,0.75,0.00,1.00,0.75,0.00,1.00,1.00,1.00,,,,,,,,,,,,,
28,2023-2,0.75,0.25,0.75,1.50,1.25,1.13,1.13,0.50,1.38,1.50,1.50,1.13,1.50,1.25,1.13,1.00,0.00,1.00,1.13,1.50,0.75,1.13,1.13,1.50,1.50,1.25,1.13,1.13,1.25,1.13,1.25,1.50,0.75,1.25,0.00,1.25,1.25,1.50,,,,,,,,,,,,,
29,2019-1,0.88,0.65,0.95,0.45,0.50,0.65,0.75,0.75,0.88,0.30,0.25,1.00,0.65,0.45,0.25,0.85,0.88,1.00,0.25,0.25,0.60,1.00,0.50,0.25,0.60,0.85,0.75,0.60,0.50,,,,,,,,,,,,,,,,,,,,,,
29,2022-1,0.63,1.00,0.75,0.75,1.00,0.75,1.00,0.75,0.75,1.00,0.63,0.75,0.75,0.75,0.63,0.75,0.63,0.75,1.00,1.00,0.63,1.00,0.50,0.75,0.75,1.00,0.63,0.88,1.00,0.75,0.63,0.50,0.75,0.75,0.88,0.75,1.00,1.00,0.63,1.00,0.75,0.38,0.75,0.75,1.00,0.50,0.63,1.00,0.75,1.00,0.88
